latency,FF,LUT,solution
578,1992,2767,sol_4_1_2_1_1_1_2_2_0_0_0_
236,3137,4057,sol_8_1_1_1_2_1_2_2_0_0_1_
234,4549,5875,sol_16_0_1_1_2_1_2_2_0_1_0_
194,3019,3871,sol_4_1_1_1_1_2_2_2_0_1_2_
236,1915,2361,sol_2_1_2_1_1_2_2_1_0_0_1_
213,3594,4710,sol_8_0_2_2_2_2_1_2_0_1_2_
429,1671,2176,sol_4_0_2_2_2_1_2_1_0_0_0_
386,1716,2054,sol_1_1_1_2_1_1_1_2_0_1_1_
236,1700,2066,sol_1_1_1_2_2_2_2_1_0_0_1_
581,1762,2370,sol_4_0_1_1_1_2_1_2_0_0_0_
379,1277,1553,sol_2_1_2_2_2_2_2_1_0_0_0_
235,4775,6126,sol_16_1_1_2_1_1_2_2_0_0_1_
625,2045,2478,sol_1_0_1_2_1_2_2_2_0_1_0_
236,3032,4018,sol_8_1_2_1_2_2_2_1_0_0_1_
579,2617,3784,sol_8_0_1_1_1_1_1_2_0_0_0_
195,1734,2145,sol_2_1_1_1_2_1_1_1_0_0_1_
234,4343,5813,sol_16_1_2_2_1_2_2_1_0_1_0_
234,4446,5844,sol_16_1_2_1_1_2_1_2_0_1_0_
209,4488,5947,sol_16_0_1_2_2_1_2_1_0_1_1_
581,1833,2434,sol_4_0_2_2_2_2_2_2_0_0_0_
386,2268,2919,sol_4_1_2_1_2_2_1_2_0_1_1_
579,2617,3784,sol_8_0_2_2_2_1_1_2_0_0_0_
578,1373,1678,sol_2_1_2_2_1_2_1_2_0_0_0_
234,4549,5875,sol_16_1_1_1_1_2_2_2_0_1_0_
209,5036,6647,sol_16_1_1_1_2_1_2_1_0_1_2_
581,1823,2376,sol_4_0_1_2_2_1_1_2_0_0_0_
195,2797,3792,sol_8_1_1_1_2_1_1_1_0_1_0_
391,4100,5746,sol_8_0_2_2_1_1_2_2_0_1_2_
195,1562,1915,sol_1_1_2_2_1_2_1_1_0_0_1_
313,1893,2316,sol_2_0_2_1_1_2_1_2_0_1_0_
391,3982,5686,sol_8_0_2_2_1_2_2_1_0_1_2_
237,2116,2337,sol_1_1_2_1_1_2_2_2_0_1_0_
401,1713,2042,sol_1_0_2_2_2_1_1_2_0_1_1_
217,1731,2142,sol_2_0_1_1_1_2_1_1_0_1_0_
58,4136,5407,sol_16_0_1_2_2_2_1_1_0_1_0_
578,1790,2361,sol_4_1_1_1_2_1_1_2_0_0_0_
58,4136,5407,sol_16_1_2_1_1_1_1_1_0_1_0_
194,1734,2177,sol_2_1_2_1_1_2_1_1_0_1_1_
391,3551,5044,sol_8_0_1_2_1_1_2_2_0_0_1_
225,1750,2194,sol_2_0_1_2_1_1_1_1_0_1_1_
236,1976,2282,sol_2_1_1_2_2_1_1_2_0_1_0_
609,1931,2289,sol_1_0_1_2_1_2_1_2_0_1_1_
569,2117,2628,sol_2_0_2_1_1_1_2_2_0_1_1_
194,2801,3497,sol_4_1_2_2_1_1_1_2_0_1_2_
58,4136,5407,sol_16_1_1_2_2_2_1_1_0_1_0_
247,3038,3992,sol_8_0_1_1_2_2_2_1_0_0_1_
195,2894,3879,sol_8_1_1_2_2_1_1_1_0_0_1_
194,2752,3475,sol_4_1_1_2_2_1_2_1_0_1_2_
233,3676,4722,sol_8_0_1_1_2_1_2_2_0_1_2_
394,3946,5680,sol_16_0_2_2_1_2_2_1_0_0_0_
194,2752,3475,sol_4_1_2_1_2_2_2_1_0_1_2_
625,2595,3211,sol_1_0_1_1_1_2_2_2_0_1_2_
217,1731,2142,sol_2_0_1_2_2_2_1_1_0_1_0_
213,3009,3946,sol_8_0_2_2_2_1_2_1_0_1_1_
391,3605,5112,sol_8_0_1_2_1_2_2_2_0_0_1_
236,1915,2361,sol_2_1_1_2_1_2_2_1_0_0_1_
234,4446,5844,sol_16_0_2_2_1_1_1_2_0_1_0_
609,2479,2989,sol_1_0_1_2_1_2_1_2_0_1_2_
384,4661,6380,sol_16_1_2_1_2_1_2_2_0_1_1_
386,1861,2208,sol_1_1_1_2_2_2_1_2_0_1_1_
379,1666,2160,sol_4_1_2_2_2_2_2_1_0_0_0_
236,3032,4018,sol_8_1_2_1_2_1_2_1_0_0_1_
236,1880,2219,sol_2_1_1_2_2_1_2_1_0_1_0_
313,1902,2337,sol_2_0_2_2_1_2_1_2_0_0_1_
563,3638,5297,sol_8_0_1_1_1_1_2_2_0_1_1_
407,3448,5027,sol_8_0_2_1_1_2_2_1_0_1_0_
58,4136,5407,sol_16_0_1_1_1_1_1_1_0_1_0_
61,4808,6139,sol_16_1_2_1_1_2_2_1_0_1_2_
194,2577,3191,sol_2_1_2_1_1_2_2_2_0_1_2_
194,1887,2363,sol_2_1_1_1_1_2_2_1_0_1_1_
429,1938,2666,sol_4_0_1_2_1_1_2_1_0_0_0_
391,4154,5814,sol_8_0_1_1_1_2_2_2_0_1_2_
473,1966,2414,sol_2_0_2_2_1_1_1_2_0_0_1_
561,1847,2245,sol_1_0_2_2_2_1_2_2_0_1_0_
578,1322,1547,sol_1_1_2_1_2_2_1_2_0_0_0_
194,2356,2909,sol_1_1_1_2_2_1_2_2_0_1_2_
386,2339,2983,sol_4_1_1_1_2_2_2_2_0_1_1_
561,1152,1389,sol_1_0_1_1_2_2_2_1_0_0_0_
235,4672,6095,sol_16_1_1_1_2_1_1_2_0_0_1_
196,1528,1981,sol_4_1_2_1_1_1_1_1_0_0_0_
196,1184,1420,sol_2_1_2_1_2_2_1_1_0_0_0_
237,1916,2209,sol_1_1_1_2_1_2_1_2_0_0_1_
394,3946,5680,sol_16_0_2_1_1_1_2_1_0_0_0_
194,3442,4581,sol_8_1_1_1_2_1_1_1_0_1_2_
429,2621,3431,sol_4_0_1_2_1_1_2_2_0_1_0_
213,3448,4582,sol_8_0_1_2_1_2_1_1_0_1_2_
235,4569,6064,sol_16_1_2_2_1_1_2_1_0_0_1_
194,2872,3561,sol_4_1_1_2_2_1_2_2_0_1_2_
236,1951,2283,sol_2_1_1_2_1_2_1_2_0_1_0_
236,2228,2806,sol_4_1_2_2_2_1_2_1_0_0_1_
199,2246,3090,sol_8_0_2_2_2_1_1_1_0_0_0_
209,4488,5947,sol_16_1_1_2_2_1_2_1_0_1_1_
58,4806,6147,sol_16_0_1_1_2_2_1_1_0_1_2_
195,2797,3792,sol_8_1_1_2_2_1_1_1_0_1_0_
58,4806,6147,sol_16_0_2_1_1_2_1_1_0_1_2_
235,4672,6095,sol_16_0_2_2_2_2_1_2_0_0_1_
205,1526,1974,sol_4_0_2_1_2_1_1_1_0_0_0_
195,1733,2152,sol_2_1_2_2_1_1_1_1_0_1_0_
247,3038,3992,sol_8_0_2_2_2_2_2_1_0_0_1_
313,1902,2337,sol_2_0_2_1_2_2_1_2_0_0_1_
386,2527,3250,sol_4_1_2_1_1_2_2_2_0_1_1_
194,2110,2711,sol_4_1_1_1_1_2_1_1_0_1_1_
309,2375,2942,sol_4_0_1_1_2_1_2_2_0_1_0_
211,2801,3787,sol_8_0_2_2_2_1_1_1_0_1_0_
247,2960,3949,sol_8_0_1_2_1_2_1_2_0_1_0_
194,2347,3043,sol_4_1_1_2_1_1_2_1_0_1_1_
379,2442,3417,sol_8_1_2_2_2_2_2_1_0_0_0_
236,3057,3993,sol_8_1_2_2_1_1_1_2_0_0_1_
213,3639,4774,sol_8_0_2_2_2_2_2_2_0_1_2_
625,2595,3211,sol_1_0_1_2_1_2_2_2_0_1_2_
386,1716,2054,sol_1_1_1_1_2_1_1_2_0_1_1_
58,5012,6209,sol_16_0_2_1_1_2_1_2_0_1_2_
578,2594,3767,sol_8_1_2_1_2_1_1_2_0_0_0_
578,1177,1399,sol_1_1_1_1_1_1_1_2_0_0_0_
194,2800,3539,sol_4_1_2_1_1_2_1_2_0_1_2_
413,2480,3313,sol_4_0_2_2_1_1_2_1_0_0_1_
217,1732,2135,sol_2_0_2_2_2_1_1_1_0_0_1_
205,1526,1974,sol_4_0_2_2_2_1_1_1_0_0_0_
236,3032,4018,sol_8_1_1_2_2_1_2_1_0_0_1_
217,2112,2708,sol_4_0_1_2_2_1_1_1_0_1_1_
66,4217,5543,sol_16_1_2_2_2_1_1_1_0_0_1_
66,4217,5543,sol_16_1_2_1_2_2_1_1_0_0_1_
237,2020,2347,sol_1_1_2_2_1_2_2_2_0_0_1_
225,1558,1915,sol_1_0_2_2_2_1_1_1_0_1_0_
213,2900,3882,sol_8_0_2_2_1_1_1_1_0_1_1_
194,3442,4581,sol_8_1_2_1_1_1_1_1_0_1_2_
58,4806,6147,sol_16_0_1_1_1_2_1_1_0_1_2_
194,3019,3839,sol_4_1_2_2_1_1_2_2_0_1_2_
194,3536,4645,sol_8_1_1_2_2_1_2_1_0_1_2_
194,3829,5230,sol_8_1_2_1_1_1_2_2_0_1_2_
58,4136,5407,sol_16_0_1_1_2_2_1_1_0_1_0_
236,2057,2489,sol_2_1_2_2_1_2_2_2_0_0_1_
194,2894,3881,sol_8_1_1_2_1_1_1_1_0_1_1_
58,4806,6147,sol_16_1_1_2_1_2_1_1_0_1_2_
194,2353,2941,sol_2_1_2_1_2_1_2_1_0_1_2_
578,1998,2799,sol_4_1_1_1_1_2_2_2_0_0_0_
391,3433,4984,sol_8_0_2_1_1_1_2_1_0_0_1_
194,1562,1919,sol_1_1_1_1_1_1_1_1_0_1_1_
217,2873,3600,sol_4_0_1_2_2_2_2_2_0_1_2_
561,1701,2122,sol_1_0_2_2_2_1_2_1_0_1_0_
194,2252,2742,sol_1_1_2_2_2_1_1_2_0_1_2_
195,1733,2152,sol_2_1_2_1_2_2_1_1_0_1_0_
576,4334,6439,sol_16_0_2_2_2_1_2_2_0_0_0_
379,2669,4020,sol_8_1_2_1_1_1_2_1_0_0_0_
579,3103,4622,sol_8_0_2_1_1_1_2_2_0_0_0_
235,4569,6064,sol_16_0_2_1_1_1_2_1_0_0_1_
625,2595,3211,sol_1_0_2_2_1_2_2_2_0_1_2_
58,4258,5447,sol_16_1_1_2_2_1_1_1_0_1_1_
217,1732,2135,sol_2_0_2_1_2_2_1_1_0_0_1_
236,3154,4502,sol_8_1_1_2_1_1_2_1_0_1_0_
386,1716,2054,sol_1_1_2_1_2_1_1_2_0_1_1_
58,5012,6209,sol_16_1_2_1_2_2_1_2_0_1_2_
225,1821,2258,sol_2_0_1_2_2_1_2_1_0_1_1_
