latency,FF,LUT,solution
252,2178,3167,sol_3_1_1_0_1_2_1_2_0_0_
522,2958,4415,sol_2_0_2_1_2_1_2_1_0_1_
91,2787,3927,sol_3_0_3_1_1_2_1_2_0_1_
731,4558,7145,sol_3_0_2_0_1_2_2_3_0_0_
430,2212,3362,sol_1_0_2_0_1_1_2_1_0_0_
419,2161,3145,sol_1_1_1_1_2_1_2_2_0_0_
419,2706,3830,sol_1_1_1_0_1_1_2_2_0_1_
566,2561,3965,sol_2_0_2_0_2_2_1_2_0_0_
407,2345,3644,sol_1_0_3_0_2_1_2_2_0_0_
304,2838,4155,sol_2_1_3_1_1_2_1_1_0_1_
49,2083,3085,sol_3_0_3_1_1_2_1_1_0_0_
102,2901,3986,sol_3_1_3_1_2_2_1_3_0_1_
587,2575,3957,sol_2_1_2_0_1_1_2_2_0_0_
344,2616,4081,sol_3_0_3_0_1_1_2_3_0_0_
522,2958,4415,sol_2_0_2_1_2_1_1_1_0_1_
524,2401,3725,sol_2_0_2_1_2_2_2_1_0_0_
408,3109,4400,sol_1_0_3_1_1_1_2_4_0_1_
102,2901,3986,sol_3_1_3_0_2_2_1_3_0_1_
428,2773,4045,sol_2_0_1_0_1_2_1_1_0_1_
47,2640,3790,sol_3_1_3_0_2_2_2_1_0_1_
265,2811,4123,sol_3_0_2_0_2_2_2_1_0_1_
491,2939,4284,sol_2_0_1_0_1_2_2_2_0_1_
494,2600,3665,sol_1_1_2_0_1_2_2_4_0_0_
714,4500,7020,sol_2_0_3_1_2_1_2_3_0_0_
342,3141,4733,sol_3_1_3_1_2_2_2_3_0_1_
423,2146,3106,sol_1_0_1_0_2_2_2_2_0_0_
662,4709,6707,sol_1_0_2_0_2_1_1_4_0_1_
564,4548,6399,sol_1_1_2_0_1_2_1_4_0_1_
417,2718,3850,sol_1_1_1_1_1_1_2_2_0_1_
497,2578,4081,sol_3_0_2_1_2_2_2_2_0_0_
476,2775,4112,sol_3_1_2_0_1_2_2_4_0_0_
566,3991,5719,sol_1_1_2_0_1_2_1_4_0_0_
670,4178,6007,sol_1_0_2_1_2_1_1_4_0_0_
518,2390,3664,sol_1_1_2_1_2_2_1_2_0_0_
588,3331,4708,sol_2_1_2_0_2_1_2_4_0_1_
322,2411,3574,sol_3_0_2_0_2_2_1_2_0_0_
276,2261,3279,sol_1_1_3_0_2_2_1_2_0_0_
434,4716,6258,sol_1_1_1_1_2_2_2_3_0_0_
546,2961,4443,sol_2_1_2_1_2_1_1_1_0_1_
265,2811,4123,sol_3_1_2_0_1_1_1_1_0_1_
91,2787,3927,sol_3_1_3_1_1_1_1_2_0_1_
424,2150,3144,sol_1_0_1_1_1_1_1_2_0_0_
91,2787,3927,sol_3_0_3_0_2_2_1_2_0_1_
306,2281,3448,sol_2_1_3_1_1_1_1_1_0_0_
432,3619,5214,sol_2_1_3_0_1_2_1_4_0_1_
496,2384,3615,sol_2_0_1_0_1_2_1_2_0_0_
917,5250,7983,sol_1_0_1_0_2_2_2_3_0_1_
370,3055,4391,sol_2_1_3_1_1_1_1_2_0_1_
274,2818,3976,sol_1_1_3_1_1_1_1_2_0_1_
370,3055,4391,sol_2_1_3_0_1_1_1_2_0_1_
498,2950,4386,sol_2_0_2_0_2_2_1_1_0_1_
212,2041,3001,sol_1_0_3_1_2_2_2_1_0_0_
452,2222,3403,sol_2_1_1_1_2_2_2_1_0_0_
892,5464,8637,sol_2_0_2_0_2_2_1_3_0_1_
663,3756,5626,sol_2_1_1_0_1_1_1_4_0_0_
343,3750,5142,sol_3_0_1_0_2_1_1_4_0_1_
491,2398,3607,sol_2_0_1_1_1_2_2_2_0_0_
919,4693,7286,sol_1_0_1_0_2_2_2_3_0_0_
392,4244,5898,sol_3_1_2_0_2_2_1_4_0_1_
254,2667,3823,sol_1_1_3_0_2_1_1_3_0_0_
668,4199,6077,sol_1_1_1_0_1_1_1_3_0_1_
401,2882,4342,sol_3_0_1_0_2_1_2_2_0_1_
239,2724,3842,sol_3_0_1_0_1_1_1_2_0_1_
501,2584,4065,sol_2_1_3_1_1_1_2_2_0_0_
498,2950,4386,sol_2_0_2_0_1_1_2_1_0_1_
684,6230,8738,sol_2_1_2_1_2_2_2_3_0_0_
338,3415,4779,sol_1_0_3_0_2_2_1_3_0_1_
473,2571,4052,sol_3_1_2_0_2_2_2_2_0_0_
564,3118,4662,sol_2_0_2_0_2_1_1_2_0_1_
