latency,FF,LUT,solution
30,1393,2442,sol_4_0_1_2_1_
44,1510,2521,sol_4_1_1_1_2_
72,1612,2648,sol_4_1_1_2_4_
75,1062,1721,sol_2_0_2_1_1_
75,1062,1721,sol_2_0_2_1_16_
30,1393,2442,sol_4_1_1_1_16_
77,880,1288,sol_1_0_1_2_1_
329,2089,2716,sol_1_0_2_1_8_
74,899,1298,sol_1_1_2_2_16_
74,899,1298,sol_1_1_1_1_16_
210,1189,1684,sol_1_1_2_1_2_
210,1189,1684,sol_1_1_1_1_2_
77,1093,1468,sol_1_0_1_2_4_
74,1112,1478,sol_1_1_2_2_4_
77,880,1288,sol_1_0_1_1_16_
77,880,1288,sol_1_0_2_2_1_
321,1371,1997,sol_1_0_2_1_2_
331,1910,2597,sol_2_0_1_1_4_
119,1167,1806,sol_2_0_1_2_2_
72,1636,2772,sol_4_0_1_2_8_
44,1510,2521,sol_4_0_2_1_2_
118,1170,1815,sol_2_1_2_2_2_
74,1081,1731,sol_2_1_1_1_1_
74,1574,2151,sol_2_1_2_2_8_
30,1393,2442,sol_4_1_1_1_1_
77,880,1288,sol_1_0_2_2_16_
72,1538,2586,sol_4_0_1_2_2_
74,1081,1731,sol_2_1_2_1_16_
329,1677,2285,sol_1_0_1_1_4_
72,1538,2586,sol_4_1_1_2_2_
295,1916,3147,sol_2_0_2_1_2_
294,2398,2865,sol_1_1_1_1_8_
119,1167,1806,sol_2_0_2_2_2_
72,1636,2772,sol_4_1_2_2_8_
74,1081,1731,sol_2_1_1_2_16_
121,970,1354,sol_1_0_1_2_2_
74,1112,1478,sol_1_1_1_2_4_
118,1170,1815,sol_2_1_1_2_2_
77,880,1288,sol_1_0_2_1_1_
74,1081,1731,sol_2_1_1_2_1_
300,1989,2796,sol_2_1_1_1_4_
74,899,1298,sol_1_1_1_2_1_
72,1612,2648,sol_4_0_1_1_4_
74,899,1298,sol_1_1_1_1_1_
294,1858,2431,sol_1_1_2_1_4_
77,880,1288,sol_1_0_1_1_1_
74,1290,1897,sol_2_1_2_2_4_
74,899,1298,sol_1_1_2_2_1_
72,1612,2648,sol_4_1_1_1_4_
329,2089,2716,sol_1_0_1_1_8_
30,1393,2442,sol_4_0_2_1_16_
75,1271,1887,sol_2_0_2_2_4_
30,1393,2442,sol_4_1_2_1_1_
30,1393,2442,sol_4_1_2_2_1_
30,1393,2442,sol_4_1_1_2_16_
321,1371,1997,sol_1_0_1_1_2_
75,1062,1721,sol_2_0_1_1_16_
30,1393,2442,sol_4_1_2_1_16_
74,899,1298,sol_1_1_2_1_1_
72,1636,2772,sol_4_0_2_2_8_
75,1062,1721,sol_2_0_1_2_1_
74,1081,1731,sol_2_1_2_1_1_
72,1636,2772,sol_4_1_1_2_8_
30,1393,2442,sol_4_0_2_1_1_
44,1510,2521,sol_4_0_1_1_2_
74,899,1298,sol_1_1_2_1_16_
30,1393,2442,sol_4_0_1_1_16_
321,1801,2391,sol_1_0_1_2_8_
72,1612,2648,sol_4_0_2_1_4_
44,1510,2521,sol_4_1_2_1_2_
210,1621,2080,sol_1_1_1_2_8_
74,899,1298,sol_1_1_1_2_16_
75,1271,1887,sol_2_0_1_2_4_
300,2535,3250,sol_2_1_2_1_8_
74,1081,1731,sol_2_1_1_1_16_
210,1621,2080,sol_1_1_2_2_8_
331,2460,3070,sol_2_0_2_1_8_
331,1910,2597,sol_2_0_2_1_4_
77,880,1288,sol_1_0_1_2_16_
74,1574,2151,sol_2_1_1_2_8_
118,981,1363,sol_1_1_1_2_2_
72,1612,2648,sol_4_1_2_1_4_
72,1538,2586,sol_4_1_2_2_2_
72,1612,2648,sol_4_0_2_2_4_
121,970,1354,sol_1_0_2_2_2_
300,1989,2796,sol_2_1_2_1_4_
72,1636,2772,sol_4_1_1_1_8_
294,1858,2431,sol_1_1_1_1_4_
30,1393,2442,sol_4_0_1_1_1_
210,1551,2497,sol_2_1_2_1_2_
295,1916,3147,sol_2_0_1_1_2_
74,1290,1897,sol_2_1_1_2_4_
75,1555,2141,sol_2_0_1_2_8_
329,1677,2285,sol_1_0_2_1_4_
75,1062,1721,sol_2_0_1_1_1_
72,1538,2586,sol_4_0_2_2_2_
74,1081,1731,sol_2_1_2_2_16_
30,1393,2442,sol_4_0_2_2_1_
72,1612,2648,sol_4_0_1_2_4_
30,1393,2442,sol_4_0_2_2_16_
321,1801,2391,sol_1_0_2_2_8_
74,1081,1731,sol_2_1_2_2_1_
30,1393,2442,sol_4_0_1_2_16_
77,1093,1468,sol_1_0_2_2_4_
30,1393,2442,sol_4_1_1_2_1_
72,1636,2772,sol_4_0_2_1_8_
75,1555,2141,sol_2_0_2_2_8_
75,1062,1721,sol_2_0_2_2_16_
72,1636,2772,sol_4_0_1_1_8_
72,1636,2772,sol_4_1_2_1_8_
331,2460,3070,sol_2_0_1_1_8_
75,1062,1721,sol_2_0_1_2_16_
210,1551,2497,sol_2_1_1_1_2_
77,880,1288,sol_1_0_2_1_16_
300,2535,3250,sol_2_1_1_1_8_
294,2398,2865,sol_1_1_2_1_8_
30,1393,2442,sol_4_1_2_2_16_
75,1062,1721,sol_2_0_2_2_1_
72,1612,2648,sol_4_1_2_2_4_
118,981,1363,sol_1_1_2_2_2_
